1,自然渋滞
2,交通集中渋滞
3,見物・脇見渋滞
101,車両事故
102,人身事故
103,物損事故故障車
104,横転事故
105,衝突事故
106,追突事故
107,接触事故
108,乗り上げ事故
109,突破事故
120,横転転覆事故
111,転落事故
112,施設接触・衝突事故
201,車両火災
202,路面火災
203,中央分離帯火災
204,トンネル火災
205,路肩火災
206,沿道火災
207,斜面火災
208,法面火災
209,道路脇施設火災
301,パンク車両
401,落下物
402,荷崩れ
403,散乱物
404,流出物
405,オイル漏れ
406,道路障害
407,人
408,動物
501,電気工事
502,ガス工事
503,水道工事
504,舗装工事
505,歩道工事
506,電話工事
507,地下鉄工事
508,下水道工事
509,法面工事
510,架橋工事
511,道路工事
512,造園工事
513,標識工事
514,ガードレール工事
515,交通案内施設工事
516,交通管理施設工事
517,遮音壁工事
518,事故復旧工事
519,災害工事
520,トンネル内設備工事
521,洞門工事
522,証明設備工事
523,レーンマーク工事
524,道路施設工事
525,集中工事
526,工事予定
527,長期工事
528,道路改良工事
529,交差点工事
530,橋梁工事
531,維持工事
532,修繕工事
533,防護柵工事
534,歩道橋工事
535,共同溝工事
536,電線共同溝工事
537,情報ボックス工事
538,地下横断歩道工事
539,地下埋設物工事
540,防災工事
541,スノーシェット工事
542,情報板工事
543,塗装工事
544,通信工事
545,鉄道工事
546,高速道路工事
547,植栽工事
548,災害復旧
549,トンネル工事
550,除雪工事
601,道路施設清掃作業
602,樹木の伐採
603,植栽作業
604,除草作業
605,除雪作業
606,凍結防止剤散布作業
607,法面作業
608,法面作業
609,橋架補修作業
610,トンネル内清掃点検
611,照明設備清掃点検
612,レーンマーク作業
613,低速車作業
614,点検作業
615,清掃作業
616,調査・点検
701,御警衛
702,催し物
703,パレード
704,祭礼
705,デモ
706,歩行者天国
707,マラソン
708,博覧会
709,警備
710,国賓来日に伴う警備
801,雪
802,風雪
803,大雪
804,吹雪
805,雪崩
806,積雪
807,凍結
808,強風
809,横風
810,霧
811,雷
812,シャーベット
813,圧雪
814,雷雨
815,雨
816,風雨
817,大雨
818,台風
819,洪水
820,河川氾濫
821,波浪
822,高潮
823,高波
824,越波
825,津波
826,噴火
827,土石流
828,決壊
829,地震
830,地吹雪
831,濃霧
832,暴風
833,暴風雨
834,警報
835,注意報
836,飛砂
901,土砂崩れ
902,落石
903,道路冠水
904,冠水
905,道路陥没
906,道路損壊
907,倒木
908,ガス爆発
909,ガス漏れ
910,停電
911,落雷
912,橋決壊
913,路面決壊
914,路肩決壊
915,堤防決壊
916,法面決壊
917,爆発
918,事前通行規制
1000,不明
9999,無効データ
